COURSECODE,COURSETITLE
CMPS142,PRINCIPLES OF PROGRAMMING I
CMPS145,INTRODUCTION TO COMPUTER SYSTEMS
HIST201,BELIZEAN HISTORY
CMPS247,COMPUTER NETWORKING I
MATH125,ADVANCED ALGEBRA
CMPS156,DATA STRUCTURES
CMPS245,DATABASE MANAGEMENT SYSTEMS I
MATH210,DIFFERENTIAL CALCULUS
CMPS146,PROGRAMMING FOUNDATIONS
CMPS248,SOFTWARE IN SOCIETY
CMPS155,COMPUTER TECHNOLOGY
CMPS157,SYSTEM ANALYSIS
CMPS260,PROJECT
SOCL221,INTRODUCTION TO SOCIOLOGY
MATH124,TRIGONOMETRY
CMPS246,COMPUTER ARCHITECTURE
CMPS256,OPERATING SYSTEMS
CMPS255,OBJECT ORIENTED SYSTEM DEV.
CMPS2171,DATABASE MANAGEMENT SYSTEMS I
CMPS2191,NETWORKING 1
CMPS1131,PROGRAMMING I
PHYS1015,GENERAL PHYSICS I
ENGL111,COLLEGE ENGLISH I
ENGL112,COLLEGE ENGLISH II
MATH1201,TRIGONOMETRY
MATH1302,CALCULUS I
MATH2201,CALCULUS II
PHYS1015L,GENERAL PHYSICS I LAB
SPAN111,SPANISH 1
GSTU101,STUDY SKILLS
MAT103,TRIGONOMETRY 1
CMPS213,BASIC PC REPAIR
CMPS1232,PRINCIPLES OF PROGRAMMING II
MGMT101,APPLIED MANAGEMENT I
MATH101,ALGEBRA 1
CMPS244,WEB APPLICATION DEV. 1
CMPS144,PRINCIPLES OF PROGRAMMING II
PSYC221,INTRO TO PSYCHOLOGY
BIOL090,DEVELOPMENTAL BIOLOGY
CMPS140,INTRODUCTION TO COMPUTER STUDIES
CHEM090,DEVELOPMENTAL CHEMISTRY
ENGL1014,COLLEGE ENGLISH I
MATH1151,ALGEBRA
CMPS1134,FUNDAMENTALS OF COMPUTING
NRMP101,ENVIRON. CONSERV & DEVELOPMENT I
CMPS150,COMPUTER BUSINESS APPLICATION
MATH121,INTERMEDIATE ALGEBRA
BCOM210,BUSINESS COMMUNICATION
ACTG202,PRINCIPLES OF FINANCIAL ACTG II
MAT090,DEVELOPMENTAL MATHEMATICS
ENGL090,DEVELOPMENTAL ENGLISH
CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.
CMPS316,PROGRAMMING LANGUAGES
CMPS314,ALGORITHMS
MATH480,LINEAR PROGRAMMING.
MATH330,DISCRETE MATHEMATHICS
MATH441,NUMERICAL ANALYSIS
EENG2151,LANGUAGE METHODS FOR PRIMARY SCHOOL TEACHERS I
MGMT1014,FUNDAMENTALS OF MANAGEMENT
EMAT1101,COLLEGE MATH FOR PRIMARY SCHOOL TEACHERS I
ENGL3105,LANGUAGE AND COMMUNICATION
PHIL1014,ETHICS
EDUC240,EDUCATIONAL PSYCHOLOGY 1
CMPS332,P C REPAIR
ACTG201,PRINCIPLES OF ACCOUNTING I
CMPS2111,SYSTEMS ANALYSIS
CMPS2151,WEB DEVELOPMENT
CMPS1212,BASIC PC REPAIR
ENGL1025,COLLEGE ENGLISH II
HIST1014,INTRODUCTION TO BELIZEAN HISTORY
PSYC1014,INTRODUCTION TO PSYCHOLOGY
SPAN1025,LEVEL 2 LOWER-INTERMEDIATE SPANISH
CMPS2992,PROJECT
CMPS1014,INTRODUCTION TO COMPUTER STUDIES
CMPS2131,DATA STRUCTURES
CMPS2252,OPERATING SYSTEMS
CMPS2212,GUI PROGRAMMING
CMPS2232,OBJECT ORIENTED SYSTEM DEVELOPMENT
SPAN1015,LEVEL 1 BEGINNERS SPANISH
SOCL1014,INTRODUCTION TO SOCIOLOGY
SPAN202,LEVEL 4 HIGH-INTERMEDIATE SPANISH
MATH104,CALCULUS I
PHYS241,GENERAL PHYSICS I
CMPS242,GUI PROGRAMMING
PLAS0014,SPANISH PLACEMENT EXAM
SPAN2015,LEVEL 3 INTERMEDIATE SPANISH
MATH090,REMEDIAL MATH
ENG090,REMEDIAL ENGLISH
PHIL210,ETHICS
MATH203,CALCULUS II
CMPS319,SYSTEMS ENGINEERING
ECON101,INTRODUCTION TO ECONOMICS
MATH102,COMPLEX NUMBERS & VECTORS
CMCN209,COMMUNICATION SKILLS
MATH3251,CALCULUS III
MATH3151,LINEAR ALGEBRA
PHYS242,PHYSICS 11
ECON222,PRINCIPLES OF ECONOMICS (MICRO)
SOCL225,INTRO. TO CULTURAL ANTHROPOLOGY
MATH250,APPLIED MATHEMATICS
SPAN201,LEVEL 3 INTERMEDIATE SPANISH
CMPS1171,INTRODUCTION TO DATABASES
CMPS1211,HARDWARE FUNDAMENTALS
BIOL121,GENERAL BIOLOGY I
CHEM121L,GENERAL CHEMISTRY I LAB
BIOL121L,GENERAL BIOLOGY I LAB
NRMP208,PEOPLE AND PARKS
ANTH221,INTRODUCTION TO ANTHROPOLOGY
CHEM121,GENERAL CHEMISTRY I
NRMP105,INTRODUCTION TO MARINE ECOLOGY
SOST290,SOCI/POL ISSUES  IN BELIZEAN DEV.
CMPS360,MANAGEMENT INFORMATION SYSTEM
SPAN101,LEVEL 1 BEGINNING SPANISH
ECON221,PRINCIPLES OF ECONOMICS I (MACRO)
MAT205,MECHANICS
MATH207,STATISTICS
HURG211,INTRODUCTION TO HUMAN RIGHTS
PHIL300,PHILOSOPHY OF HUMAN NATURE
EDUC324,PSYCHOLOGY OF LEARNING
LITR400,AFRICAN LITERATURE
LITR280,LITERATURE OF THE AMERICAS I
ENGL123,GRAMMAR & USAGE
LITR210,BRITISH LITERATURE
LITR240,CARIBBEAN LITR.
SPAN102,LEVEL 2 LOWER-INTERMEDIATE SPANISH
PHYS241L,GENERAL PHYSICS LAB
ENGL318,TECHNICAL WRITING.
CMPS414,NETWORKING II
CMPS321,TELECOMMUNICATIONS SYSTEMS
CMPS323,SYSTEMS ADMINISTRATION
CMPS328,DATABASE MGMT. SYS. II
ECON1014,INTRODUCTION TO ECONOMICS
MATH1014,INTERMEDIATE ALGEBRA
ENGL0090,PRE-COLLEGE ENGLISH I
ENGL0095,PRE-COLLEGE ENGLISH II
BLAW220,BUSINESS LAW
MGMT205,PRINCIPLES OF SUPERVISION
MKTG221,PRINCIPLES OF MARKETING
FNAN221,PRINCIPLES OF FINANCE
SPAN112,SPANISH II
MATH204,MATHEMATICS OF MODELING
MAT206,MECHANICS 2
MATH202,STATISTICS 2
ENGL299,THE COMPOSING PROCESS
CMPS317,ADVANCED GUI DEVELOPMENT
MATH1252,COMPLEX NUMBERS & VECTORS
SPAN2025,LEVEL 4  HIGH-INTERMEDIATE SPANISH
MATH0014,DEVELOPMENTAL MATH
CMPS1192,NETWORKING FUNDAMENTALS
CMPS2242,SYSTEMS PROGRAMMING & COMPUTER ORGANIZATION
PLAE0014,ENGLISH PLACEMENT
PLAM0014,MATH PLACEMENT TEST
LITR150,SURVEY OF LITERATURE I
LITR270,AFRICAN LITERATURE I
EDUC222,TEACHING METHODS
MGMT285,BUSINESS ETHICS
CHEM122,GENERAL CHEMISTRY II
BIOL122,GENERAL BIOLOGY II
NRMP2201,INTRODUCTION TO MARINE ECOLOGY
NRMP2351,WASTE MANAGEMENT
NRMP213,PROTECTED AREAS MANAGEMENT
NRMP2251,INTRODUCTION TO RECREATION
NRMP2301,INTRODUCTION TO GEOLOGY
PSY221,INTRODUCTORY PSYCHOLOGY 1
SPAN3015,LEVEL 5 ADVANCED SPANISH
NRMP210,HOSPITALITY/TOURISM
MATH208,INTRO TO DISCRETE MATHEMATICS
MATH333,CALCULUS III
MATH322,LINEAR ALGEBRA 1
BIOL1015L,GENERAL BIOLOGY I LAB
BIOL1015,GENERAL BIOLOGY I
CHEM0016,DEVELOPMENTAL CHEMISTRY
ANTH1024,INTRODUCTION TO CULTURAL ANTHROPOLOGY
NRMP1014,ENVIRONMENTAL CONSERVATION & DEVELOPMENT
ENGL1035,THE COMPOSING PROCESS
SPAN301,LEVEL 5 ADVANCED SPANISH
RSCH299,INTRODUCTION TO RESEARCH METHODS
MATH402,EUCLIDEAN & NON-EUCLIDEAN GEOMETRY
SWRK235,INTRODUCTION TO SOCIAL WORK
MGMT373,HUMAN RESOURCE MANAGEMENT
ECON2054,PRINCIPLES OF ECONOMICS (MICRO)
QMGT221,BUSINESS STATISTICS 1
BLAW2014,BUSINESS LAW
ECON2014,PRINCIPLES OF ECONOMICS (MACRO)
BIO105,BIOLOGY LAB I
BIOL101,CYTOLOGY
BIOL103,BIOCHEMISTRY
ENGL150,INTRODUCTION TO LITERATURE 1
BCOM2014,BUSINESS COMMUNICATION
MATH2352,STATISTICS II
ACTG1014,PRINCIPLES OF ACCOUNTING I
HIST1051,INTRODUCTION TO HISTORY
HIST1101,PRE-COLOMBIAN SOCIETIES IN L.AMER. & CARIB.
HIST1201,POLITICAL & ECONOMIC HISTORY OF BELIZE
MATH2025,BUSINESS STATISTICS I
MKTG2015,PRINCIPLES OF MARKETING
ACTG1054,PRINCIPLES OF ACCOUNTING II
RSCH2014,RESEARCH METHODS
MGMT2055,BUSINESS ETHICS
FNAN3015,FINANCIAL MANAGEMENT
EDUC3403,PSYCHOLOGY OF LEARNING
EDUC4256,MEASUREMENT AND EVALUATION
EDUC3252,INTRODUCTION TO GUIDANCE & COUNSELLING
ENGL3155,TECHNICAL WRITING
EDUC3552,ADOLESCENT PSYCHOLOGY
EDUC3453,CLASSROOM ASSESSMENT
ANTH1014,INTRODUCTION TO ANTHROPOLOGY
EDUC2224,TEACHING METHODS FOR SECONDARY LEVEL
ENGL2105,COMMUNICATION SKILLS
CMPS1191,NETWORKING FUNDAMENTALS
MATH114,FUNDAMENTALS OF PRIMARY MATH 1
EDUC1052,TEACHING METHODS FOR THE PRIMARY CURRICULUM
EDUC1092,NATURE OF THE LEARNER
SCIE150,INTEGRATED SCIENCE
CHEM1015L,GENERAL CHEMISTRY I LAB
PHAR1101,INTRODUCTION TO PHARMACY
CHEM1015,GENERAL CHEMISTRY I
CMPS1124,AN INTRODUCTION TO PROGRAMMING USING PYTHON
NRMP3401,INTRODUCTION TO GIS
LING1152,FUNDAMENTALS OF LINGUISTICS
LITR1157,SURVEY OF LITERATURE I
LITR2156,BRITISH LITERATURE
LITR2206,AFRICAN LITERATURE I
ENGL1107,GRAMMAR & USAGE
LITR2106,SURVEY OF LITERATURE II
BIOL2201,ENERGETICS
CHEM1151,FUNDAMENTALS OF CHEMISTRY I
BIOL1302,BIODIVERSITY
BIOL1151,CYTOLOGY
BIOL2402,ECOLOGY
CHEM1025,GENERAL CHEMISTRY II
BIOL2251,HUMAN HEALTH & DISEASE
BIOL2301L,BIOLOGY LAB III
BIOL1201,INTRODUCTION TO BIOCHEMISTRY
BIOL1352,"REPRODUCTION, GENETICS & EVOLUTION"
BIOL2352,ANIMAL PHYSIOLOGY
CHEM1025L,GENERAL CHEMISTRY II LAB
CHEM1151L,FUNDAMENTALS OF CHEMISTRY I LAB
BIOL2151,PLANT PHYSIOLOGY
BIOL1402L,BIOLOGY LAB II
BIOL2452,GROWTH & DEVELOPMENT
BIOL1251L,BIOLOGY LAB I
CMPS1024,COMPUTER BUSINESS APPLICATIONS
CMPS4151,NETWORK ENGINEERING
EDUC3101,SOCIAL CONTEXT OF SCHOOLING
EDUC3451,PHILOSOPHY OF EDUCATION
EDUC3454,INSTRUCTIONAL TECHNOLOGY
CMPS3151,TELECOMMUNICATION
MGMT3105,HUMAN RESOURCE MANAGEMENT
BIOL0016,DEVELOPMENTAL BIOLOGY
BIOL2015,HUMAN ANATOMY AND PHYSIOLOGY I
CMPS4211,ADVANCED PC REPAIR
CMPS4251,COMPUTER AND NETWORK SECURITY
CMPS3131,ADVANCED GUI PROGRAMMING
MATH2302,MATH MODELING
MATH2402,MECHANICS I
HIST2402,A HISTORY OF MEXICO
MATH2151,STATISTICS I
BIOL3402,GENERAL MICROBIOLOGY
MATH3012,BIOSTATISTICS II
BIOL3402L,GENERAL MICROBIOLOGY LAB
BIOL104,REPROD. OF GENETICS & EVOLUTION
MATH2251,INTRO TO DISCRETE MATH
CHEM2151L,INORGANIC CHEMISTRY LAB
CHEM1252,ORGANIC CHEMISTRY I
CHEM2151,INORGANIC CHEMISTRY
CHEM1202,FUNDAMENTALS OF CHEMISTRY II
CHEM1202L,FUNDAMENTALS OF CHEMISTRY II LAB
CRTH1014,CRITICAL THINKING
MATH1212,MATHEMATICAL SOFTWARE
LITR2257,CARIBBEAN LITERATURE I
MECH1401,MATERIAL SCIENCE WRKSHOP TECH.
PHYS1041,PHYSICS FOR ENGINEERS
ELEC1101L,ELECTRICAL WORKSHOP (PRACTICE) I
MECH1101L,MECHANICAL WORKSHOP (PRACTICE) I
MECH1301,ENGINEERING DRAWING & DESIGN I
ALHL2021,HUMAN ANATOMY AND PHYSIOLOGY II
CHEM1032,ORGANIC AND BIOCHEMISTRY
BIOL1025,GENERAL BIOLOGY II
BIOL1025L,GENERAL BIOLOGY II LAB
ALHL2012,HUMAN ANATOMY AND PHYSIOLOGY I
EDUC1051,INTRODUCTION TO EDUCATION
ESCI1151,SCIENCE FOR PRIMARY SCHOOL TEACHERS
CMPS3012,MANAGEMENT INFORMATION SYSTEM
NRMP1151,FUNDAMENTALS FOR ENVIRONMENTAL MANAGERS
LITR2357,LATIN AMERICAN LITERATURE I
ENL090,DEVELOPMENTAL ENGLISH
TOUR1014,INTRODUCTION TO TOURISM
TOUR1052,TOURISM GEOGRAPHY
BLDG1151,MASONRY
CIVL1101,PROPERTIES OF MATERIAL I
BLDG1401,BUILDING CONSTRUCTION & DRAWING I
BLDG1201,CARPENTRY & JOINERY (THEORY)
BLDG1101,GEOMETRICAL DRAWING I
MATH1045,PRE-CALCULUS
BIOL1102,GENETICS
CHEM1042,CHEMISTRY FOR ENGINEERS
ACAD1102L,COMPUTER AIDED DRAFTING I
ELEC1401,ELECTRICAL ENGINEERING SCIENCE I
MECH1451,MECHANICAL ENGINEERING SCIENCE I
ENGL0014,DEVELOPMENTAL ENGLISH
CMPS090,REMEDIAL COMPUTER