course_id,course_name,course_description,course_outline,course_pass_rate,course_average
CMPS1134 ,Fundamentals of Computing ,https://drive.google.com/file/d/1MIqFPC6jUnOw_NC-zXzdHvesT8sdS9lm/view?usp=drive_link,https://docs.google.com/document/d/1KTkriFVdcPjZIVEQgzhgAYooD1HrBj84/edit?usp=drive_link&ouid=12021628 456907974128&rtpof=true&sd=true,1.8,D+
CMPS1131 ,Principles of Programming I ,https://drive.google.com/file/d/19sTefchW1abjBhvmTvWlSc_7uQ2Kq5lY/view?usp=drive_link,https://docs.google.com/document/d/13YzgM4tN_x9pKLd85w5Ww2NSkUbmTeM0/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,1.7,D+
MATH1151 ,Algebra ,https://drive.google.com/file/d/1NzRMnpJ8BKgy_ulddNAXxcxKYPQXw1je/view?usp=drive_link,https://drive.google.com/file/d/1MjZgD3PDIhBAnF_T8umIINqfTIvQnJhl/view?usp=drive_link,1.4,D
MATH1201 ,Trigonometry,https://drive.google.com/file/d/1ijkTSpJ37bZ0BmmPxELdeLcpQ-RJg78w/view?usp=drive_link,https://drive.google.com/file/d/1sfsJ41fdLsLJwOaxKqqZBeBMva9sINcZ/view?usp=drive_link,1.3,D
ENGL1014,College English I,https://drive.google.com/file/d/15B4MMa-8OH9TnX3KiZd7-qV3CadpIwSM/view?usp=drive_link,https://docs.google.com/document/d/1nzz5hDD8npYMsrT-hPBdjMI_KiTEZJJC/edit?usp=drive_link&ouid=113991536029981978239&rtpof=true&sd=true,1.9,D+
CRTH1014,Critical Thinking,https://drive.google.com/file/d/1LuS52Dh0XmoIi_7okabgOKq674R9GjXQ/view?usp=drive_link,https://docs.google.com/document/d/1irOyMgAsRrhKUBUS4UjZV_61ndetW50w/edit?usp=drive_link&ouid=113991536029981978239&rtpof=true&sd=true,2.8,C+
CMPS1232 ,Principles of Programming II ,https://drive.google.com/file/d/1wREsjMHAiB9Vja8DzfjRrnet7hVQjyBX/view?usp=drive_link,https://docs.google.com/document/d/1RCThikjRmkiklKJBJ01AnfH_0givRs4W/edit?usp=sharing&ouid=113991 536029981978239&rtpof=true&sd=true,1.7,D+
CMPS1211 ,Hardware Fundamentals ,https://drive.google.com/file/d/1dPcQZHMyZ4RouVuG7Cn3rTDflhhh0XU9/view?usp=drive_link,https://drive.google.com/file/d/1FFK42xP_aHLlttIqY2eNuyQT6rx4X4Mi/view?usp=sharing,2.4,C
CMPS1171 ,Introduction to Databases ,https://drive.google.com/file/d/1OMrGvenk-JHhRzPcqpUxeg6Nhaw4Ln8P/view?usp=drive_link,https://docs.google.com/document/d/1HLxEHLsdDI8xIr4urwziKnagjWOiqwuO/edit?usp=shar,2.2,C
MATH1302,Calculus I,https://drive.google.com/file/d/138n2YYKNKWggpAMGLH_iXx46q7gNJupb/view?usp=drive_link,https://drive.google.com/file/d/1B4bIcXevCHiBXQRUSOiFHdW6IcPU8atK/view?usp=drive_link,1.9,D+
ENGL1025,College English II,https://drive.google.com/file/d/1q4jMKnljjsjyqx2vBabbg6_Uecd395CZ/view?usp=drive_link,https://docs.google.com/document/d/1_fqIMaTPiSqG_GgdoqqDhjezc0QUBYOQ/edit?usp=drive_link&ouid=113991536029981978239&rtpof=true&sd=true,2,C
PHIL1014,Ethics ,https://drive.google.com/file/d/1oBBdnKrbQOlsB3tHJDcEx_tAwvyuIuZ3/view?usp=drive_link,https://drive.google.com/file/d/19F7hxMdCzSQeRtxYU0QXq3n_QSErFNL1/view?usp=drive_link,1.6,D+
CMPS2131 ,Data Structures ,https://drive.google.com/file/d/1ENmFHir9mesVt_aoNBgSm-VKhcJr0Na2/view?usp=drive_link,https://docs.google.com/document/d/1Lh-P66MizRnbDSU-qQ9DzdJeYLN-_gOi/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,2.5,C+
CMPS2111 ,Systems Analysis ,https://drive.google.com/file/d/16UD_MKK2lQIX-D_hqBL1hA9vWb3BQ4sI/view?usp=drive_link,https://docs.google.com/document/d/1At3Qc_3P59y9BgKphjbeYoCxF8Ec2WHM/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,2.1,C
CMPS2151 ,Web Development,https://drive.google.com/file/d/1YWZIpz7H7j1gY88pLuiJvNRRh6tEAQvz/view?usp=drive_link,https://docs.google.com/document/d/1z7ttju8vzAcUON8vxehLxAoCAT7xoE-I/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,2.3,C
MATH2201 ,Calculus II ,Not Available,Not Available,2,C
CMPS1191 ,Networking Fundamentals ,https://drive.google.com/file/d/1pjv1-So9slWI3_rXn1NvqdgEbftLgFdQ/view?usp=drive_link,https://docs.google.com/document/d/1uwWzVh_4-a1wbvV3ruO0qzAokzS-reN8/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,3.3,B
MGMT1014  ,Fundamentals of Management ,Not Available,Not Available,2.6,C+
ECON1014,"Introduction to Economics ",Not Available,Not Available,1.7,D+
SPAN1025,Level 2 Intermediate Spanish,Not Available,Not Available,,
CMPS2212 ,GUI Programming,https://drive.google.com/file/d/1gyyoYk0byrFbs-OhYG3aM3ne2xBthLkn/view?usp=drive_link,https://docs.google.com/document/d/1_t_1p756h5FKaITONrdxMfB-UhQhHexr/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,2.6,C+
CMPS2232 ,Object Oriented Systems Development ,https://drive.google.com/file/d/19eO09Hd7brmjRj3mjSUh9V4HMv_ZWF6h/view?usp=drive_link,https://docs.google.com/document/d/1XPoNDBoqjQ6nJrIHgpt_aGuEltQWPiPh/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,2.7,C+
CMPS2242 ,Systems Programming  & Computer Organization ,https://drive.google.com/file/d/1g4f-iXZU3zEAqlwakXfbXRYO1FmQPejL/view?usp=drive_link,https://docs.google.com/document/d/19Rp9UPMSPCQmf8gsS1eFBP0FUAeqdZF1/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,3,B
CMPS2992 ,Project ,Not Available,Not Available,3.2,B
PSYC1014 ,Introduction to Psychology,Not Available,Not Available,2,C
SOCL1014 ,Introduction to Sociology,Not Available,Not Available,2,C
HIST1014 ,Belizean History ,Not Available,Not Available,2.3,C
CMPS3111 ,Programming Languages ,Not Available,Not Available,,
CMPS3141 ,Human Computer Interface ,https://drive.google.com/file/d/1E3IVdET75OO2ozQXj2V9NxGMl_0RYSyy/view?usp=drive_link,https://docs.google.com/document/d/1h9xTV5hLGtQJMC1iNqpvbHSmOBI486dp/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,,
CMPS3151 ,Telecommunication ,Not Available,Not Available,,
CMPS3171 ,Network Design ,Not Available,Not Available,,
MATH3251 ,Calculus III ,Not Available,Not Available,,
MATH3151 ,Linear Algebra,Not Available,Not Available,,
CMPS3162 ,Advanced Databases ,https://drive.google.com/file/d/1OuyeLSssp50kGFxWhx4mEs8JvptaG6Yi/view?usp=drive_link,https://docs.google.com/document/d/16hDd0uY0MlPWZkvGw5d0hknHQsO1FeX_/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,,
CMPS4131 ,Software Engineering ,Not Available,Not Available,,
CMPS3252 ,Algorithms ,https://drive.google.com/file/d/19Sp7XAMkk1f9L4WhCMlyH1qL9M-aYFKH/view?usp=drive_link,https://drive.google.com/file/d/1M69nHBj2zXBi7DlhpvlsKU3wkRjiduE0/view,,
ENGL3155 ,Technical Writing ,Not Available,Not Available,,
RSCH2014 ,Research Methods ,Not Available,Not Available,,
SPAN2015 ,Level 3 Intermediate Spanish ,Not Available,Not Available,,
CMPS4991 ,Senior Seminar in Information  Technology ,Not Available,Not Available,,
CMPS4992,Professional Practice ,Not Available,Not Available,,
CMPS4232 ,Systems Administration ,Not Available,Not Available,,
CMPS4191 ,Advanced Web Technologies ,Not Available,Not Available,,
CMPS4181 ,Mobile Application Development ,Not Available,Not Available,,
CMPS4171 ,Routing & Switching ,Not Available,Not Available,,
CMPS4252 ,Digital Logic & Design ,Not Available,Not Available,,
CMPS4251 ,Computer & Network Security ,Not Available,Not Available,,
CMPS4081 ,Practical Electronics ,Not Available,Not Available,,