semester_id,semester_name,semester_start_date,semester_end_date
20191,Fall 2019-1,"August 12, 2019","December 9, 2019"
20192,Spring 2019-2,"January 20, 2020","May 25, 2020"
20201,Fall 2020-1,"August 17, 2020","December 14, 2020"
20202,Spring 2020-2,"January 18, 2021","May 24, 2021"
20211,Fall 2021-1,"August 16, 2021","December 13, 2021"
20212,Spring 2021-2,"January 17, 2022","May 23, 2022"
20221,Fall 2022-1,"August 15, 2022","December 12, 2022"
20222,Spring 2022-2,"January 17, 2023","May 22, 2023"
20231,Fall 2023-1,"August 14, 2023","December 11, 2023"
20232,Spring 2023-2,"January 17, 2024","May 20, 2024"
20241,Fall 2024-1,"August 12, 2024","December 9, 2024"
20242,Spring 2024-2,"January 20, 2025","May 26, 2025"